root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
молоко;концентрированный,цельный;62;231575;40446;48;891;881;601780;1173188;3;3;2222
молоко;овсяный,растительный;31;316680;1986;13;549;548;111357;817156;15;9;1369
молоко;сухой,цельный;159;197685;92073;112;1210;1220;842113;1986796;34;29;3896
сироп;фирменный;33;46820852;108058;23;910;764;275256;127437864;3;2;119483
напиток;фруктовый;31;8420000;1500;13;456;425;17358167;72440;12;5;121
coca;газированный;11;10498500;0;5;1283;1391;17197696;82905;5;2;67
закваска;сухой;20;1117308;2160;14;256;235;290093;1771043;8;7;9248
сироп;солёный;48;691642;30303;31;324;349;667739;2031381;26;17;5312
орех;лесной;31;499865;2140;13;266;314;294173;666697;25;13;1709
вода;детский,питьевой;30;218080;15250;24;388;480;512031;1135695;10;8;5072
батончик;клюквой;37;6107970;3958875;27;446;936;6995124;49982596;9;6;100793
чипсы;натуральный;153;263252;4410;82;610;590;201238;819328;42;35;3798
шарик;сырный;174;1133640;0;8;509;509;2125719;37145;7;5;87
шарик;натуральный,сырный;153;979510;0;1;491;491;979510;0;1;1;0
батончик;зерновой;15;6107970;755040;13;398;404;3393442;33468544;3;3;78171
батончик;жаренного;11;956204;600;10;605;646;409673;1018250;2;2;1808
лёд;многоразовый;55;12935;3762;36;205;274;54502;115626;21;16;432
мороженый;мороженый;18;3015;0;4;149;166;247;4465;5;2;8
смесь;мороженый;33;18396;1014;16;574;492;27890;63015;6;5;165
смесь;мороженый,сухой;20;1014;0;5;528;419;17855;2642;4;4;4
кг;натуральный;21;1268400;0;9;256;275;364360;1699836;19;9;3512
конфета;желейный;48;920766;1521;11;101;100;551744;950290;25;6;2469
манго;натуральный;95;414200;85698;44;353;330;848769;2001925;70;34;3671
манго;натуральный,сушёный;72;436449;33820;33;371;339;719320;1534305;55;25;2493
конфета;манго;10;314116;0;6;214;215;282520;596148;8;4;1478
манго;сушёный;154;436449;77220;85;453;456;1138067;3081082;95;56;5149
кубик;манго;25;169724;11284;16;262;288;181759;554635;15;10;1462
финик;сушёный;44;135430;27000;26;289;292;278385;572142;32;20;1712
клюква;вяленый;51;236769;17472;33;543;608;993195;716641;29;21;1251
финик;иранский,сушёный;16;137994;0;7;158;124;82573;130959;15;7;436
шиповник;отборный,сушёный;23;366180;2744;19;354;365;398597;584911;15;12;1632
шиповник;сушёный;99;366180;26670;63;315;347;544968;974278;58;40;2719
финик;королевский;59;290048;27927;30;677;749;331598;728805;37;19;1053
стружка;кокосовый;54;125312;242;10;125;133;109635;225140;40;8;694
кг;сушёный;30;5981472;12432;16;911;980;343338;9030282;20;12;5464
сухофрукты;натуральный;15;163856;0;4;129;269;59325;205990;13;3;343
лук;жареный,сушёный;22;646800;4172;19;283;285;359908;795925;18;16;2307
